"id","bedrooms","square_footage_min","square_footage_max","flow_gpd"
129,5,0,750,460
130,5,751,1200,460
131,5,1201,2250,460
132,5,2251,3300,460
133,5,3301,4051,460
134,5,4052,4801,520
135,5,4802,5551,580
136,5,5552,6301,640
137,5,6302,7051,700
138,5,7052,7801,760
139,5,7802,8551,820
140,5,8552,9301,880
141,5,9302,10051,940
142,5,10052,10801,1000
143,5,10802,11551,1060
144,5,11552,12301,1120
145,5,12302,13051,1180
146,5,13052,13801,1240
147,5,13802,14551,1300
148,5,14552,15301,1360
149,5,15302,16051,1420
150,5,16052,16801,1480
151,5,16802,17551,1540
152,5,17552,18301,1600
153,5,18302,19051,1660
154,5,19052,19801,1720
155,5,19802,20551,1780
156,5,20552,21301,1840
157,5,21302,22051,1900
158,5,22052,22801,1960
159,5,22802,23551,2020
160,5,23552,24301,2080
161,6,0,750,520
162,6,751,1200,520
163,6,1201,2250,520
164,6,2251,3300,520
165,6,3301,4051,520
166,6,4052,4801,520
167,6,4802,5551,580
168,6,5552,6301,640
169,6,6302,7051,700
170,6,7052,7801,760
171,6,7802,8551,820
172,6,8552,9301,880
173,6,9302,10051,940
174,6,10052,10801,1000
175,6,10802,11551,1060
176,6,11552,12301,1120
177,6,12302,13051,1180
178,6,13052,13801,1240
179,6,13802,14551,1300
180,6,14552,15301,1360
181,6,15302,16051,1420
182,6,16052,16801,1480
183,6,16802,17551,1540
184,6,17552,18301,1600
185,6,18302,19051,1660
186,6,19052,19801,1720
187,6,19802,20551,1780
188,6,20552,21301,1840
189,6,21302,22051,1900
190,6,22052,22801,1960
191,6,22802,23551,2020
192,6,23552,24301,2080
193,7,0,750,580
194,7,751,1200,580
195,7,1201,2250,580
196,7,2251,3300,580
197,7,3301,4051,580
198,7,4052,4801,580
199,7,4802,5551,580
200,7,5552,6301,640
201,7,6302,7051,700
202,7,7052,7801,760
203,7,7802,8551,820
204,7,8552,9301,880
205,7,9302,10051,940
206,7,10052,10801,1000
207,7,10802,11551,1060
208,7,11552,12301,1120
209,7,12302,13051,1180
210,7,13052,13801,1240
211,7,13802,14551,1300
212,7,14552,15301,1360
213,7,15302,16051,1420
214,7,16052,16801,1480
215,7,16802,17551,1540
216,7,17552,18301,1600
217,7,18302,19051,1660
218,7,19052,19801,1720
219,7,19802,20551,1780
220,7,20552,21301,1840
221,7,21302,22051,1900
222,7,22052,22801,1960
223,7,22802,23551,2020
224,7,23552,24301,2080
225,8,0,750,640
226,8,751,1200,640
227,8,1201,2250,640
228,8,2251,3300,640
229,8,3301,4051,640
230,8,4052,4801,640
231,8,4802,5551,640
232,8,5552,6301,640
233,8,6302,7051,700
234,8,7052,7801,760
235,8,7802,8551,820
236,8,8552,9301,880
237,8,9302,10051,940
238,8,10052,10801,1000
239,8,10802,11551,1060
240,8,11552,12301,1120
241,8,12302,13051,1180
242,8,13052,13801,1240
243,8,13802,14551,1300
244,8,14552,15301,1360
245,8,15302,16051,1420
246,8,16052,16801,1480
247,8,16802,17551,1540
248,8,17552,18301,1600
249,8,18302,19051,1660
250,8,19052,19801,1720
251,8,19802,20551,1780
252,8,20552,21301,1840
253,8,21302,22051,1900
254,8,22052,22801,1960
255,8,22802,23551,2020
256,8,23552,24301,2080
257,9,0,750,700
258,9,751,1200,700
259,9,1201,2250,700
260,9,2251,3300,700
261,9,3301,4051,700
262,9,4052,4801,700
263,9,4802,5551,700
264,9,5552,6301,700
265,9,6302,7051,700
266,9,7052,7801,760
267,9,7802,8551,820
268,9,8552,9301,880
269,9,9302,10051,940
270,9,10052,10801,1000
271,9,10802,11551,1060
272,9,11552,12301,1120
273,9,12302,13051,1180
274,9,13052,13801,1240
275,9,13802,14551,1300
276,9,14552,15301,1360
277,9,15302,16051,1420
278,9,16052,16801,1480
279,9,16802,17551,1540
280,9,17552,18301,1600
281,9,18302,19051,1660
282,9,19052,19801,1720
